,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
421,престижный,интересный,дорогой,Экономический факультет,6,no,1.0,5,45,90,62,74,58,6,3.0,3,17,2,5,1,английский,,,,3
422,интеллектуальный, интересный, заставляющий думать,Философский факультет,10,no,4.0,1,32,67,55,72,83,9,1.0,1,17,2,5,1,английский,,,,2
423,интересный, доступный, привлекательный,Высшая школа бизнеса факультет,5,no,4.0,1,54,87,45,77,66,7,3.0,2,17,2,7,1,английский,,,,7
424,шикарный,дорогой,перспективный,Экономический факультет,7,no,2.0,"1,2,5",68,82,69,87,45,4,2.0,1,17,2,4,2,английский,немецкий,,,3
425,кантовский, гайефоксовский, джокеровский,Философский факультет,10,no,2.0,1,72,73,69,78,66,8,2.0,2,17,2,5,2,английский,немецкий,,,3
426,интересный,престижный,недоступный,Экономический факультет,10,no,2.0,1.5,48,92,65,87,63,1,3.0,2,18,2,7,2,английский,французский,,,3
427,сложный, интересный, уникальный,Филологический факультет,5,no,4.0,1.2,56,56,66,66,56,4,2.0,3,17,2,7,1,английский,,,,7
428,известный, престижный, интересный,Философский факультет,10,no,2.0,1.5,60,76,45,97,98,9,2.0,2,17,2,7,1,английский,,,,2
429,интересный перспективный современный,,,Экономический факультет,7,no,2.0,"1,2,5",80,67,88,65,56,7,1.0,3,17,1,5,2,французский,английский,,,3
431,дорогой, красивый, перспективный,Философский факультет,10,no,2.0,1,40,76,54,88,60,10,1.0,2,17,2,6,1,английский,,,,3
432,знаменитый, обустроенный,,Экономический факультет,10,yes,2.0,4,56,90,70,77,55,8,1.0,2,18,2,6,2,английский,французский,,,2
433,государственный,познавательный,интересный,Факультет государственного управления,6,no,2.0,3,68,98,88,78,65,7,2.0,2,17,1,5,2,английский,французский,,,3
434,сложно, интересно, увлекательно,Биологический факультет,8,yes,1.0,1.4,55,95,85,56,91,7,2.0,2,17,2,5,1,английский,,,,2
435,престижный, дорогой, желаемый,Экономический факультет,10,yes,5.0,1,74,64,70,65,66,5,1.0,2,17,1,6,2,иврит,английский,,,7
437,интересный, увлекательный, творческий,Факультет государственного управления,6,no,2.0,1,70,84,55,87,66,8,1.0,3,16,1,7,1,английский,,,,1
438,интересный, практичный, денежный,Экономический факультет,7,no,1.0,5,74,73,66,93,66,8,1.0,2,18,1,5,1,английский,,,,2
439,интересный, перспективный, многообразный,Юридический факультет,5,no,2.0,4,72,70,75,55,55,5,3.0,3,18,1,7,3,азербайджанский,гусский,немецкий,,3
440,интересный, интересный, интересный,Биологический факультет,6,no,2.0,1,80,75,75,90,66,6,1.0,3,17,1,7,2,английский,армянский,,,7
441,интересный, большой, трудный,Биологический факультет,7,no,2.0,4,44,72,90,89,55,8,1.0,3,17,2,6,1,французский,,,,3
442,известный, престижный, властный,Экономический факультет,8,no,1.0,1,70,98,98,79,54,6,1.0,2,18,2,5,1,английский,,,,3
443,престижный, технический, сложный,Факультет вычислительной математики и кибернетики,8,no,2.0,1,50,38,40,66,66,8,2.0,2,17,1,6,2,английский,армянский,,,3
444,престижный, желанный, международный,Факультет государственного управления,7,no,2.0,1,85,90,57,85,91,7,3.0,2,15,2,4,1,английский,,,,3
445,качественный,престижный,,Экономический факультет,1,yes,2.0,4,70,90,65,73,55,7,2.0,2,17,2,5,1,английский,,,,3
447,интересный,востребовательный,красивый,Факультет государственного управления,7,no,2.0,2,92,95,95,97,66,8,2.0,2,18,2,5,1,английский,,,,3
448,необычный, полезный, легендарный,Филологический факультет,8,no,2.0,4,72,95,90,82,55,8,2.0,2,17,1,4,1,английский,,,,3
449,интересный, трудный, престижный,Факультет иностранных языков и регионоведения,7,yes,1.0,1,76,82,78,75,66,5,1.0,3,18,1,6,2,английский,французский,,,3
450,серьезный, перспективный,лингвистический,Филологический факультет,5,no,2.0,1,52,82,88,74,84,10,1.0,2,17,1,5,2,английский,немецкий,,,3
451,интересный,,,Экономический факультет,9,no,1.0,5,63,84,90,92,69,9,1.0,2,17,2,7,2,английский,испанский,,,2
452,эрудированность, эстетичность, глубина,Филологический факультет,9,no,1.0,1,55,90,98,56,93,10,2.0,2,17,2,6,1,английский,,,,3
453,престижный, солидный, желанный,Юридический факультет,10,no,1.0,1,44,76,88,87,93,10,2.0,2,17,2,6,3,английский,французский,немецкий,,3
454,сложный, интересный, старый,Химический факультет,1,no,5.0,7,66,57,98,69,68,5,3.0,3,17,1,4,2,английский,китайский,,,4
455,престижный, сложный, интересный,Геологический факультет,5,no,2.0,1,48,84,78,82,77,5,3.0,2,17,1,5,1,английский,,,,3
456,новый, биологический, технологический,Факультет биоинженерии и биоинформатики,7,no,2.0,1,50,95,72,55,72,7,1.0,2,18,2,5,1,английский,,,,3
457,недоступный,престижный,дорогой,Юридический факультет,8,no,2.0,5,66,84,66,94,77,8,2.0,2,17,1,3,1,английский,,,,3
458,широкоохватывающий,классный,интересный,Факультет политологии,5,no,2.0,1,68,84,64,74,65,5,2.0,2,17,2,7,1,английский,,,,7
460,престижный,,,Экономический факультет,10,yes,2.0,5,70,79,67,63,45,10,1.0,2,18,1,1,2,английский,татарский,,,1
461,интересный, жизненный, человеческий,Социологический факультет,5,no,2.0,3,55,90,85,66,96,5,2.0,2,17,2,5,2,английский,французский,,,3
462,не сказал,,,Экономический факультет,5,no,4.0,5,32,47,43,65,45,3,1.0,2,18,1,5,1,английский,,,,2
463,интересный , познавательный, весёлый,Исторический факультет,10,no,1.0,1,68,70,88,55,66,10,1.0,1,18,1,7,1,английский,,,,3
465,интересный, познавательный, перспективный,Факультет государственного управления,10,yes,2.0,7,100,98,55,56,55,10,2.0,2,18,1,1,1,идиш,,,,1
468,мудрый интересный глубокий,,,Философский факультет,6,no,2.0,7,78,90,83,90,54,6,2.0,2,17,1,3,1,английский,,,,3
469,исторический факультет,,,Исторический факультет,7,no,1.0,5,70,95,69,80,71,7,2.0,2,16,1,4,2,английский,немецкий,,,4
470,классный, тяжелый, замечательный,Исторический факультет,7,no,1.0,1,48,73,65,45,100,9,1.0,2,17,2,5,3,английский,испанский,грузинский,,2
471,современный, престижный, классный,Экономический факультет,8,no,4.0,1,48,95,63,85,59,8,1.0,3,18,2,6,1,английский,,,,2
472,аккуратный, дружелюбный, понятный,Высшая школа государственного аудита факультет,10,no,1.0,1,59,70,70,89,95,10,1.0,2,17,1,6,3,английский,араб,армян,,3
