,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
0,дающая,оправдывающий,образовательный,Юридический факультет,7,no,2.0,1,75,69,83,83,83,8,1.0,3,17,2,6,3,английский,немецкий,испанский,,2
1,далекий, классный, красивый,Факультет государственного управления,6,yes,3.0,1,63,85,70,70,70,8,1.0,3,17,2,5,2,английский,немецкий,,,3
2,интересный, перспективный, престижный,Экономический факультет,10,no,2.0,4,66,90,68,68,68,6,2.0,1,17,2,5,2,английский,французский,,,3
3,большой, престижный, перспективный,Экономический факультет,5,yes,3.0,1,81,69,77,77,77,8,3.0,2,18,1,4,3,английский,немецкий,испанский,,3
4,перспективный, выгодный, веселый,Юридический факультет,10,no,2.0,2,87,92,70,70,70,7,2.0,2,17,2,6,2,английский,французский,,,3
5,перспективный, увлекательный, приятный,Исторический факультет,4,no,2.0,1,77,64,68,68,68,6,1.0,2,17,2,6,1,английский,,,,3
7,престижный, интересный, бюджетный,Экономический факультет,5,yes,1.0,5,58,75,90,90,90,10,3.0,3,18,1,5,2,английский,немецкий,,,3
9,новый, непонятный, манящий,Факультет биоинженерии и биоинформатики,5,no,2.0,2,50,80,74,74,74,7,1.0,2,17,2,6,1,немецкий,,,,2
10,фундаментальный, академический, творческий,Факультет искусств,5,no,2.0,2.5,63,57,72,72,72,5,3.0,3,18,2,4,1,английский,,,,3
11,востребованный, интересный, увлекательный,Факультет глобальных процессов,7,no,5.0,1,87,73,43,43,43,7,2.0,2,17,1,6,2,английский,французский,,,3
12,хороший, полезный, незнакомый,Экономический факультет,6,no,5.0,4,68,64,63,63,63,7,2.0,3,17,1,7,1,немецкий,,,,2
13,успешный, целеустремленный, умный,Экономический факультет,5,no,1.0,7,66,87,75,75,75,6,3.0,2,17,2,4,1,английский,,,,3
14,современный, актуальный, красивый,Юридический факультет,6,no,2.0,1,59,61,59,59,59,4,1.0,2,16,2,6,1,английский,,,,3
15,интересный, познавательный, престижный,Факультет государственного управления,5,no,2.0,4,53,61,57,57,57,1,3.0,3,18,2,4,2,английский,французский,,,3
16,отличный, интересный,,Экономический факультет,10,no,2.0,"1,2,5",44,70,77,77,77,6,1.0,3,18,2,6,2,английский,немецкий,,,3
17,большой, фунадаментальный,черный,Физический факультет,4,no,4.0,1.2,61,53,50,50,50,5,2.0,2,18,2,4,2,английский,немецкий,,,33
18,умный,интересный,многообразный,Исторический факультет,10,no,4.0,4,63,98,77,77,77,4,2.0,2,17,2,4,1,английский,,,,2
20,интересный, интеллектуальный, красивый,Экономический факультет,5,no,3.0,3,57,61,79,79,79,8,2.0,2,17,2,5,2,французский,английский,,,2
21,серьезный, интересный, сложный,Филологический факультет,8,no,4.0,1,66,91,63,95,87,8,1.0,1,18,2,7,2,французский,английский,,,3
22,суперский, образовательный, изучающий,Экономический факультет,5,no,2.0,1,68,84,55,89,50,7,3.0,3,18,2,4,2,французский,английский,,,3
23,престижный, интересный, сложный,Юридический факультет,7,yes,2.0,1,60,87,65,87,61,8,2.0,2,18,2,6,2,французский,английский,,,2
24,значимый, профессиональный, многопрофильный,Юридический факультет,8,no,2.0,1,68,82,72,73,56,8,1.0,2,18,1,5,1,английский,,,,3
26,женский, познавательный, интересный,Филологический факультет,8,no,2.0,1,32,68,66,83,77,8,1.0,2,18,2,7,2,английский,французский,,,2
27,право, учиться, закон,Юридический факультет,7,no,2.0,4,95,92,62,93,75,7,2.0,2,18,2,3,2,английский,французский,,,3
28,занимательный, интересный, большой,Факультет политологии,5,yes,2.0,4,48,95,62,82,84,7,2.0,2,18,2,7,1,английский,,,,7
29,сильный,качественный, интересный,Юридический факультет,8,no,1.0,4,77,92,100,88,63,9,2.0,2,18,1,4,1,английский,,,,3
30,разнообразный, увлекательный, интересный,Филологический факультет,8,yes,2.0,1,84,87,85,92,64,9,1.0,2,18,2,7,2,английский,французский,,,7
31,престижный, интересный, познавательный,Исторический факультет,7,no,1.0,1,63,100,64,75,82,10,2.0,2,18,2,5,2,английский,немецкий,,,2
32,престижный, высококвалифицированный, известный,Юридический факультет,8,no,2.0,3,68,90,75,77,64,5,3.0,2,18,2,4,2,английский,французский,,,3
33,интересный, занимательный, желанный,Социологический факультет,7,no,2.0,2,72,84,62,95,61,9,2.0,3,17,2,5,1,английский,,,,2
35,интересный, престижный,,Факультет государственного управления,3,no,2.0,4,44,84,61,74,61,7,1.0,3,18,1,4,1,английский,,,,3
36,красивый, важный, умный,Экономический факультет,10,no,1.0,1; 4; 5,67,92,63,63,61,8,3.0,2,17,2,5,1,английский,,,,3
37,мощный,славный, престижный,Факультет государственного управления,10,no,2.0,4,56,90,68,74,55,7,3.0,2,16,2,7,2,английский,французский,,,7
38,интересный, захватывающий,хороший,Исторический факультет,7,no,1.0,1,60,90,93,73,71,5,3.0,3,17,1,7,1,английский,,,,7
39,престижный, популярный, интересный,Философский факультет,6,yes,3.0,1,66,100,44,89,65,8,1.0,2,17,2,5,2,английский,французский,,,3
40,тяжелый, интересный, значительный,Экономический факультет,8,no,3.0,1.2,58,65,61,37,66,1,3.0,2,17,1,5,2,английский,грузинский,,,3
41,московский,государственный,иностранный,Факультет иностранных языков и регионоведения,5,no,2.0,1.5,79,98,65,95,65,8,2.0,2,17,2,4,1,английский,,,,3
42,желанный, вожделенный, неизведанный,Исторический факультет,6,no,2.0,5,74,90,91,90,91,1,2.0,2,17,2,7,1,английский,,,,7
44,хороший, красивый, интересный,Высшая школа государственного аудита факультет,7,no,2.0,7,56,79,70,38,58,9,1.0,1,17,1,6,1,английский,,,,3
45,хороший, интересный, прекрасный,Юридический факультет,4,no,4.0,1,40,65,61,83,72,7,2.0,2,17,2,5,1,английский,,,,3
46,успешный, нужный, престижный,Исторический факультет,9,no,2.0,1.5,68,90,90,74,85,5,3.0,3,17,2,6,1,английский,,,,3
47,увлекательный, интересный, шедевральный,Экономический факультет,8,no,2.0,"                                                                        3,4,5",63,93,81,56,75,8,2.0,2,17,2,6,2,английский,французский,,,2
48,престижный,,,Факультет государственного управления,6,no,2.0,2,52,70,78,99,65,6,2.0,3,17,1,5,1,английский,,,,3
50,интересный, познавательный, известный,Юридический факультет,7,yes,1.0,1,68,71,69,78,65,7,3.0,2,17,2,5,1,английский,,,,2
51,теоретический, фундаментальный, архитектурный,Юридический факультет,7,yes,2.0,1,66,75,85,78,75,9,3.0,2,18,1,4,1,немецкий,,,,3
53,интересный, перспективный, красивый,Экономический факультет,10,no,1.0,3,68,85,75,80,81,9,3.0,2,18,2,4,1,английский,,,,3
54,долгий, скучный, унылый,Исторический факультет,9,no,1.0,3,72,75,79,66,82,7,3.0,2,18,1,5,1,английский,,,,3
55,престижный, интересный,,Экономический факультет,5,no,2.0,3,56,71,68,75,60,7,3.0,2,17,2,5,2,английский,французский,,,2
60,перспективный, популярный, хороший,Юридический факультет,8,no,2.0,1,88,72,95,42,55,7,1.0,3,18,2,4,1,английский,французский,,,4
61,прекрасное, умное, бесплатное,Физический факультет,8,no,4.0,5,70,98,88,85,42,5,2.0,2,17,2,3,2,английский,немецкий,,,3
62,интересный, увлекательный, познавательный,Философский факультет,8,no,2.0,7,70,92,88,85,65,8,2.0,2,16,2,3,1,английский,,,,3
63,жизнерадостный, хороший, строгий,Юридический факультет,10,yes,4.0,1,81,98,71,82,100,6,2.0,2,19,2,3,1,английский,,,,3
64,интересный, увлекательный, познавательный,Факультет политологии,5,yes,5.0,1,67,60,78,100,98,10,2.0,2,18,1,2,1,английский,,,,2
65,интеллектуальный, престижный, людный,Юридический факультет,5,no,1.0,1,63,95,71,87,55,7,1.0,2,17,2,2,3,английский,французский,испанский,,2
66,творческий, интересный,,Факультет государственного управления,8,no,2.0,1,79,78,89,65,94,7,2.0,2,17,1,3,1,английский,,,,3
67,своеобразный, веселый, деловой,Философский факультет,10,no,1.0,7,81,82,82,55,65,8,2.0,2,17,1,3,2,английский,французский,,,3
68,мерзкий,,,Юридический факультет,4,no,2.0,4,79,98,93,87,55,6,2.0,3,18,2,3,1,английский,,,,3
69,успешный, интересный, практичный,Экономический факультет,7,no,1.0,5,77,98,72,93,65,5,2.0,2,17,2,3,1,английский,,,,3
70,красивый, интересный, перспективный,Юридический факультет,6,no,2.0,1,44,73,70,55,59,3,2.0,3,17,1,3,1,английский,,,,3
71,сложный, нужный,,Юридический факультет,5,no,2.0,1,72,98,70,79,79,5,2.0,2,17,2,4,1,английский,,,,3
72,интересный, перспективный, престижный,Факультет государственного управления,7,no,2.0,1,60,86,55,55,66,7,1.0,1,19,2,6,2,английский,французский,,,2
73,большой красивый желанный,,,Факультет политологии,10,no,2.0,1,79,79,57,79,66,7,1.0,3,17,1,5,2,английский,испанский,,,2
75,престижный, популярный, значимый,Факультет государственного управления,4,yes,1.0,1,81,87,63,82,55,8,2.0,2,17,1,6,2,английский,испанский,,,2
76,классный, интересный, сложный,Юридический факультет,3,no,2.0,1,79,84,85,78,64,3,2.0,2,18,2,5,1,английский,,,,3
79,прогрессивный, крутой, атмосферный,Экономический факультет,7,no,2.0,3,63,87,68,85,58,5,1.0,2,18,1,6,1,английский,,,,3
81,интересный, большой потенциал, великолепный специалист,Философский факультет,4,no,2.0,1,66,95,72,64,51,10,2.0,2,18,2,4,2,английский,французский,,,2
82,серьезный,образовательный,,Факультет государственного управления,7,no,2.0,1,60,87,72,59,75,9,2.0,2,17,2,4,1,английский,,,,3
83,восхитительный, прекрасный, мафусаиловский,Факультет психологии,7,no,2.0,1,77,100,93,53,93,4,1.0,2,17,2,7,2,английский,французский,,,3
86,интересный, серьёзный, монументальный,Исторический факультет,7,no,1.0,1,100,98,72,64,93,8,1.0,2,17,1,6,1,испанский,,,,1
87,престижный, красивый, семиэтажный,Экономический факультет,8,no,2.0,1,66,95,67,37,44,6,2.0,2,18,2,5,1,английский,,,,2
88,интересный, занимательный, серьезный,Юридический факультет,6,no,2.0,1.5,40,70,75,58,75,6,2.0,2,17,1,4,2,английский,немецкий,,,3
89,престижный ,известный,красивый,Факультет государственного управления,7,no,4.0,2,73,95,100,87,51,6,2.0,2,17,1,6,1,английский,,,,1
92,престижный, интересный, современный,Экономический факультет,7,no,1.0,7,77,100,56,89,65,8,2.0,2,17,2,4,2,английский,немецкий,,,4
93,знаменательный,престижный,легендарный,Экономический факультет,7,no,2.0,1,76,92,95,92,56,8,2.0,2,18,2,5,2,английский,немецкий,,,3
94,популярный, интересный, значимый,Факультет государственного управления,7,no,2.0,1,66,87,65,89,65,4,1.0,3,17,2,4,2,французский,английский,,,3
95,восхитительный, прекрасный, мафусаиловский,Факультет психологии,5,yes,2.0,4,66,89,98,55,63,7,3.0,2,16,1,4,1,английский,,,,2
96,интересный, старый, зарубежный,Филологический факультет,4,yes,1.0,1,40,79,72,66,69,7,1.0,3,17,2,5,1,английский,,,,2
97,престижный, умный, красивый,Экономический факультет,3,yes,2.0,1,87,92,93,56,55,9,2.0,2,17,2,4,1,английский,,,,3
98,полезный, интересный, нужный,Юридический факультет,8,yes,2.0,7,60,89,72,45,58,9,2.0,2,19,2,4,2,английский,испанский,,,3
99,передовой, престижный,,Экономический факультет,9,no,2.0,1,52,65,61,57,58,5,1.0,2,17,2,6,1,английский,,,,2
100,интересный, познавательный, престижный,Исторический факультет,6,no,2.0,1,72,86,92,98,89,8,2.0,3,17,2,7,2,английский,японский,,,3
101,интересный, занимательный, сложный,Факультет биоинженерии и биоинформатики,7,no,2.0,2,66,98,90,87,100,5,2.0,1,18,2,3,2,английский,татарский,,,3
102,престижный, профессиональный, любимый,Юридический факультет,4,no,2.0,1,48,79,70,65,84,5,2.0,2,16,2,5,1,английский,,,,1
103,классный, перспективный, престижный,Экономический факультет,10,no,2.0,1,87,76,80,98,65,3,1.0,2,17,1,6,2,английский,французский,,,2
104,престижный,,,Факультет государственного управления,10,no,1.0,1,62,82,86,69,85,6,1.0,2,18,2,6,1,английский,,,,2
105,непонятный,неизвестный,задрипанный,Исторический факультет,6,no,2.0,1,28,95,68,83,65,8,3.0,2,18,2,5,1,английский,,,,3
106,престижный, консервативный, новый,Экономический факультет,4,no,2.0,1,87,76,80,98,55,5,2.0,2,17,1,6,1,английский,,,,3
107,престижный, известный, клевый,Юридический факультет,9,no,2.0,1,48,79,70,65,84,10,1.0,2,18,1,5,1,английский,,,,1
108,лучший, хороший, катирущийся,Факультет государственного управления,10,no,1.0,2,66,98,90,87,100,8,2.0,3,17,1,3,1,английский,,,,4
109,передовой, атмосферный, перспективный,Механико–математический факультет,3,no,1.0,1,70,86,92,98,89,10,1.0,1,18,1,5,3,английский,немецкий,испанский,,2
110,престижный, востребованный, универсальный,Юридический факультет,8,no,2.0,1,63,79,73,68,86,5,2.0,3,18,2,3,1,английский,,,,3
111,надежный, высококвалифицированный, хороший,Юридический факультет,9,no,1.0,1,63,100,66,40,66,5,1.0,3,18,2,5,1,английский,,,,3
113,вдохновляющий,идеальный,перспективный,Юридический факультет,6,no,1.0,4,79,90,75,82,66,5,2.0,2,17,1,4,2,английский,немецкий,,,3
114,перспективный,хороший, дающий возможности,Экономический факультет,8,no,1.0,5,58,90,84,72,90,5,2.0,2,17,2,6,2,английский,французский,,,3
115,профессиональный, престижный, комфортный,Экономический факультет,10,yes,4.0,2,70,80,80,100,98,6,1.0,2,17,1,5,2,английский,испанский,,,3
116,древний, занимательный, полевой,Биологический факультет,6,no,4.0,6,70,90,98,78,55,9,3.0,3,17,2,5,2,английский,немецкий,,,3
117,крутой, интересный, веселый,Механико–математический факультет,7,yes,1.0,5,72,82,55,68,65,8,2.0,2,17,2,6,1,английский,,,,2
118,интересующий, внушительный, красивый,Исторический факультет,7,yes,2.0,2,79,92,56,75,66,10,2.0,2,18,2,5,2,английский,немецкий,,,3
120,интересный, красивый,,Экономический факультет,9,no,4.0,5,75,73,68,56,66,5,2.0,2,18,2,5,2,английский,французский,,,3
121,обычный, интересный, познавательный,Высшая школа государственного аудита факультет,8,no,4.0,4,77,90,88,92,56,8,2.0,2,18,2,4,1,английский,,,,2
122,подходящий, престижный, непопулярный,Факультет глобальных процессов,6,no,2.0,5,56,74,71,67,65,4,2.0,2,18,1,3,1,английский,,,,3
123,фундаментальный,,,Исторический факультет,5,yes,1.0,5,72,87,55,85,55,9,1.0,2,17,2,6,3,английский,французский,чешский,,7
124,востребованный, дающий, возможный,Юридический факультет,7,yes,2.0,1,83,92,71,98,65,6,1.0,2,16,2,6,2,английский,французский,,,3
125,интересный,развивающий, глубокий,Филологический факультет,7,no,2.0,1,84,92,87,69,71,6,2.0,2,18,1,6,2,английский,итальянский,,,2
126,интересный, развивающий, фундаментальный,Филологический факультет,4,yes,2.0,1,79,79,69,83,66,8,2.0,3,18,2,3,1,английский,,,,3
127,успешный, перспективный, интересный,Экономический факультет,9,no,2.0,5,65,88,75,56,59,5,3.0,3,17,2,3,1,иврит,,,,7
128,официальный, серьезный, ответственный,Юридический факультет,5,no,2.0,1,50,90,89,72,75,8,1.0,2,17,1,5,3,английский,французский,эстонский,,2
129,умный, полезный, трудный,Механико–математический факультет,3,yes,1.0,5,90,91,92,100,100,1,3.0,3,16,1,7,3,английский,французский,корейский,,1
130,классный, прикольный, увлекательный,Юридический факультет,7,no,1.0,4,40,84,88,77,74,1,1.0,2,16,1,5,1,английский,,,,3
131,престижный, востребованный, красивый,Факультет государственного управления,9,no,1.0,1,40,76,83,55,79,1,1.0,2,17,1,5,1,английский,,,,3
133,большой, интересный, очень большой,Экономический факультет,6,no,1.0,5,68,69,80,55,66,4,2.0,3,17,1,4,1,английский,,,,3
134,современный, красивый,удобный,Юридический факультет,7,no,4.0,4,28,84,64,65,91,4,1.0,2,18,2,2,2,английский,немецкий,,,2
135,понравившийся,,,Исторический факультет,10,yes,2.0,1,68,92,80,83,86,5,2.0,2,17,2,6,2,английский,французский,,,3
136,уютно,страшно,посемейному,Философский факультет,5,no,1.0,1,60,95,78,66,89,9,2.0,2,16,2,4,1,английский,,,,3
137,шикарный,красивый,замечательный,Факультет политологии,6,no,2.0,1,56,87,90,40,98,4,3.0,3,17,2,5,1,английский,,,,3
138,перспективный, интересный,,Юридический факультет,5,no,1.0,1,28,98,56,83,66,3,2.0,2,17,2,6,1,английский,,,,3
139,сложный, интересный, тематический,Экономический факультет,7,yes,2.0,1,48,72,57,52,66,6,1.0,2,18,2,5,1,английский,,,,3
140,познавательный,далекий, интересный,Экономический факультет,10,no,2.0,1,68,98,65,56,45,7,2.0,2,17,2,4,1,английский,,,,3
141,красивый, пятиэтажный, великий,Юридический факультет,7,no,2.0,7,56,78,80,79,56,1,1.0,2,20,2,2,1,английский,,,,7
142,стильный, стеклянный,,Экономический факультет,6,no,3.0,3.5,53,61,65,37,83,6,2.0,1,20,2,5,1,английский,,,,3
143,интересный, престижный, гуманитарный,Высшая школа культурной политики и управления в гуманитарной сфе,7,no,2.0,1.2,82,78,65,66,74,9,2.0,2,17,1,5,2,английский,немецкий,,,3
146,интересный, лучший, развивающий,Экономический факультет,4,no,1.0,1.2,74,88,70,66,69,4,1.0,2,17,2,5,3,немецкий,английский,французский,,3
147,хороший, комфортабельный, респектабельный,Экономический факультет,8,no,2.0,1,55,81,80,82,66,6,2.0,2,17,2,3,2,английский,немецкий,,,3
148,новый, красивый,бюджетный,Юридический факультет,8,no,2.0,7,70,60,80,70,50,8,2.0,2,23,1,5,1,английский,,,,1
149,интересный, перспективный, престижный,Экономический факультет,7,no,2.0,5,80,71,56,66,65,9,2.0,3,20,1,4,1,английский,,,,3
150,интересный, научный, образовательный,Химический факультет,4,no,2.0,1,100,92,95,93,55,8,3.0,2,17,2,7,2,английский,испанский,,,2
151,полезный, привлекательный, интересный,Высшая школа государственного аудита факультет,8,no,4.0,1,65,71,65,85,91,10,1.0,1,17,2,7,1,французский,,,,3
152,престижный, интересный, высококачественный,Факультет государственного управления,9,no,1.0,5,72,63,65,67,56,6,1.0,1,24,1,4,1,английский,,,,3
153,красивый, интересный, перспективный,Экономический факультет,8,no,2.0,5,60,79,65,77,79,4,3.0,2,19,2,2,1,английский,,,,5
154,дорогой, престижный, желанный,Экономический факультет,8,no,2.0,1,52,73,92,75,82,7,1.0,3,18,1,4,3,английский,французский,немецкий,,3
155,престижный, солидный, знаменитый,Юридический факультет,8,no,2.0,3,63,87,68,85,56,5,1.0,2,18,2,6,1,английский,,,,3
156,новый, прогрессивный, современный,Экономический факультет,7,yes,4.0,1.2,46,48,72,85,89,8,1.0,2,17,2,7,2,английский,французский,,,7
158,правовой, законный, защитный,Юридический факультет,8,no,2.0,1,59,68,61,71,56,6,2.0,2,18,1,5,1,английский,,,,2
159,престижный, доступный, интересный,Филологический факультет,6,yes,1.0,2,67,72,89,76,56,7,1.0,2,19,1,3,1,английский,,,,3
161,спокойный, дружелюбный, позитивный,Филологический факультет,7,no,2.0,1,74,90,45,85,64,9,2.0,2,17,2,5,2,английский,немецкий,,,2
162,перспективный, престижный, труднопоступаемый,Юридический факультет,5,yes,1.0,1,52,92,83,65,64,7,1.0,3,17,2,6,1,английский,,,,3
163,стильный, стеклянный,,Экономический факультет,7,no,2.0,1,77,98,54,98,64,10,3.0,3,19,1,7,1,английский,,,,7
164,престижный, красивый, профессиональный,Экономический факультет,10,no,1.0,1,72,90,90,90,64,10,2.0,1,28,2,1,2,английский,французский,,,6
165,серьёзный,перспективный,интересный,Физический факультет,6,yes,4.0,1,69,72,66,89,64,6,1.0,2,17,1,6,2,английский,немецкий,,,1
166,интересный, престижный, перспективный,Физический факультет,4,no,2.0,1,68,90,70,64,64,8,3.0,2,18,2,7,2,английский,французский,,,7
167,интересный,веселый,перспективный,Социологический факультет,10,yes,2.0,1,70,82,95,88,93,7,1.0,2,18,1,1,3,чувашский,немецкий,древний финский,,3
168,престижный, надежный, успешный,Факультет мировой политики,7,yes,1.0,1,80,79,85,88,56,8,2.0,2,16,1,5,1,английский,,,,2
169,финансовый,управляемый,финансирование,Экономический факультет,5,yes,2.0,4,98,92,55,92,65,9,3.0,2,17,1,5,2,английский,хорватский,,,7
170,мечта, новая жизнь, самый замечательный,Юридический факультет,6,no,2.0,1,68,98,98,97,84,5,2.0,2,18,2,4,1,английский,,,,3
171,котируемый, сложный, интересный,Факультет глобальных процессов,7,no,2.0,5,48,100,85,88,86,9,2.0,2,17,2,4,2,английский,немецкий,,,3
172,цензура, великолепно, пафосно,Факультет мировой политики,7,no,4.0,4,48,72,55,85,82,6,1.0,3,17,2,5,3,английский,армянский,французский,,3
173,коррупционный,,,Факультет глобальных процессов,8,no,2.0,4,63,73,83,82,60,7,1.0,2,17,2,6,2,английский,французский,,,2
174,иинтересный, сложный, замечательный,Филологический факультет,8,no,2.0,5,56,90,88,89,89,5,2.0,2,18,2,5,2,английский,французский,,,2
176,тяжелый,дающий возможности,выдающийся,Физический факультет,7,no,2.0,1,63,90,55,90,89,8,1.0,2,16,1,6,2,английский,турецкий,,,2
177,перспективный,желанный,замечательный,Исторический факультет,8,no,2.0,4,60,82,55,65,84,2,2.0,2,18,2,3,1,английский,,,,3
178,интересный,популярный,престижный,Социологический факультет,5,yes,2.0,1,60,80,55,99,82,8,1.0,2,17,2,6,2,английский,немецкий,,,3
179,престижный, учащий знаниям, помогающий в трудоустройстве,Юридический факультет,10,yes,1.0,1,48,79,75,65,59,5,1.0,2,16,2,5,2,английский,французский,,,3
180,серьезный  глобальный  интересный,,,Факультет глобальных процессов,8,no,2.0,5,36,92,66,74,86,6,2.0,2,18,2,5,2,английский,,,,3
181,серьезный, веселый, позитивный,Физический факультет,8,no,2.0,1,67,73,84,84,66,6,2.0,2,18,2,4,1,английский,,,,3
183,фундаментальный, основательный, инноваторский,Социологический факультет,7,yes,2.0,1,60,95,80,89,96,6,1.0,2,17,2,5,2,английский,немецкий,,,3
184,хороший,прогрессивный,развивающийся,Экономический факультет,9,yes,2.0,1,49,72,80,72,51,7,1.0,2,18,2,6,2,английский,немецкий,,,2
185,информационный,красивый,престижный,Факультет дополнительного образования,8,no,4.0,1,72,90,52,52,52,10,2.0,2,17,2,4,1,английский,,,,2
186,внушительный, интересный, уважаемый,Факультет фундаментальной физико–химической инженерии,7,no,2.0,7,98,90,83,45,53,7,2.0,2,17,2,4,1,английский,,,,3
188,интересный, перспективный, клёвый,Экономический факультет,10,no,1.0,3,73,80,55,55,55,8,1.0,2,17,2,5,2,английский,немецкий,,,2
189,сложный, интересный, многообещающий,Филологический факультет,6,no,2.0,1,60,73,80,82,56,6,2.0,2,17,1,5,2,английский,немецкий,,,3
190,тёмный, далёкий, умный,Филологический факультет,9,no,2.0,7,52,84,90,87,57,8,1.0,2,18,2,4,1,английский,,,,3
191,язык, филология, страны,Филологический факультет,10,no,2.0,7,72,73,65,56,58,6,1.0,1,17,1,7,1,английский,,,,1
192,интересный,новый,актуальный,Биологический факультет,7,no,4.0,1,59,92,66,98,90,1,2.0,2,17,1,7,3,испанский,английский,немецкий,,7
193,неоднозначный, увлекательный, интеллигентный,Филологический факультет,10,no,5.0,7,97,82,93,93,56,1,2.0,2,17,1,7,4,немецкий,английский,итальянский,,7
194,классный  веселый  умный,,,Экономический факультет,9,yes,1.0,1,44,50,67,80,65,8,1.0,3,17,2,5,2,английский,немецкий,,,2
195,непонятный, неизвестный, загадочный,Факультет глобальных процессов,7,no,2.0,5,52,90,66,74,84,6,2.0,3,18,2,5,2,английский,французский,,,3
196,интересный, познавательный, увлекательный,Юридический факультет,6,yes,1.0,1,27,43,66,56,65,3,2.0,2,21,1,1,2,английский,иврит,,,1
197,экономический,,,Социологический факультет,8,no,1.0,1,44,92,58,83,54,6,2.0,2,18,2,5,2,английский,французский,,,3
198,сложный,интересный,свободный,Экономический факультет,9,yes,2.0,1,60,92,55,67,65,1,3.0,1,17,2,5,1,английский,,,,3
199,престижная, востребованная, современная,Высшая школа бизнеса факультет,7,no,1.0,1,85,67,80,83,54,3,1.0,2,16,1,5,2,английский,немецкий,,,3
200,умный, математичный, хороший,Механико–математический факультет,8,no,1.0,"1, 3",100,92,95,93,55,8,3.0,2,17,2,7,2,английский,испанский,,,2
201,интересный, познавательный, веселый,Социологический факультет,10,yes,1.0,1,60,51,50,66,56,10,3.0,3,17,1,7,3,английский,азербайджансский,сербский,,7
202,интересный, точно, красивый,Экономический факультет,5,no,2.0,1,70,76,67,83,57,6,1.0,3,18,2,5,2,английский,французский,,,3
203,социологический,позитивный,практический,Высшая школа современных социальных наук факультет,9,no,2.0,1,58,71,66,68,58,4,1.0,2,17,2,6,1,английский,,,,2
204,престижный, привлекательный, сложный,Экономический факультет,5,no,2.0,5,56,49,65,67,59,6,2.0,2,17,2,4,1,английский,,,,3
206,отличный, замечательный, лучший,Филологический факультет,10,no,1.0,3,56,63,55,49,61,10,2.0,3,17,2,6,1,английский,,,,2
207,физический, химический, научный,Факультет фундаментальной физико–химической инженерии,7,no,2.0,1,79,95,70,88,62,1,2.0,2,17,2,4,1,английский,,,,2
208,литературный, занимательный, для души,Филологический факультет,6,no,2.0,1,60,90,48,85,86,4,2.0,2,17,2,4,2,английский,французский,,,3
209,интересный, творческий, разносторонний,Социологический факультет,5,no,2.0,1,52,76,64,79,37,3,2.0,2,17,2,5,2,французский,английский,,,2
210,удобный  интересный  профессиональный,,,Филологический факультет,8,no,2.0,2,77,79,85,56,86,9,3.0,3,17,1,6,2,английский,немецкий,,,2
211,экспедиции, карты,,Геологический факультет,5,no,2.0,1,74,82,69,88,56,8,1.0,2,16,1,4,1,английский,,,,3
213,московский, государственный, юридический,Юридический факультет,10,no,2.0,1,75,87,91,66,56,10,2.0,2,17,2,4,1,английский,,,,3
214,интересный, надежный, классный,Юридический факультет,9,yes,2.0,1,62,86,74,80,62,4,3.0,2,17,2,3,5,английский,немецкий,украинский,,3
215,престижный, перспективный, восхитительный,Юридический факультет,3,no,2.0,1,56,82,75,54,55,4,1.0,3,18,2,5,1,английский,,,,2
216,интересный,перспективный,сложный в поступлении,Факультет глобальных процессов,4,no,2.0,2,44,90,63,54,63,7,2.0,2,18,2,5,1,немецкий,,,,3
219,недоступный, далёкий, приятный,Экономический факультет,8,no,1.0,2,66,60,55,63,63,7,2.0,2,18,1,4,2,английский,украинский,,,3
220,тяжелый, новый, современный,Юридический факультет,7,no,1.0,1,63,79,78,40,63,7,2.0,2,17,2,5,1,английский,,,,3
221,неизвестный, русский, синий,Филологический факультет,5,no,1.0,1,65,90,80,40,77,9,1.0,3,18,1,5,2,английский,немецский,,,1
222,интересный, технический, математический,Механико–математический факультет,5,no,2.0,1,74,95,55,94,60,5,2.0,2,17,2,4,1,английский,,,,4
223,серьёзный,добрый,оригинальный,Факультет мировой политики,8,no,2.0,7,44,72,55,55,60,10,1.0,3,17,2,6,1,английский,,,,2
224,интересный, непредсказуемый, странный,Философский факультет,7,no,2.0,2,68,84,55,60,60,10,2.0,3,17,1,4,2,английский,украинский,,,3
225,престижный,сложный,вкусный,Экономический факультет,7,no,2.0,1,79,95,75,56,60,4,2.0,2,17,2,4,1,английский,,,,3
226,творческий, яркий, индивидуальный,Филологический факультет,10,yes,2.0,1,63,95,83,89,76,10,3.0,2,17,2,6,2,английский,немецский,,,1
228,красивый  большой  классный,,,Экономический факультет,6,yes,1.0,1,66,76,95,64,58,Исследователь программ,2.0,3,17,2,3,1,английский,,,,4
229,интересный, развивающий, увлекательный,Высшая школа бизнеса факультет,7,no,2.0,5,66,72,65,74,64,8,2.0,2,17,2,5,2,английский,немецский,,,3
230,интересный, несложный, гуманитарный,Социологический факультет,10,no,2.0,1,85,90,70,88,61,7,1.0,2,17,1,7,1,английский,,,,7
